Roma 
Ariminum 
Belum 
Placentia 
Tarraco 
Italica 
Mod 
Salernum 
Bononia 
Forum Livii 
Regium Lepidi 
Aquileia 
Corduba 
Ascrivium 
Valentia Edetanorum 
Scalabis 
Villa Euracini 
Colonia Narbo Martius 
Massa 
Pistoria 
Segovia 
Gerunda 
Naissus 
Brigantium 
Florentia 
Vesontio 
Lutetia Parisiorum 
Atuatuca Tungrorum 
Iulia Romula Hispalis 
Augusta Raurica 
Lugdunum 
Siscia 
Marsonia 
Augusta Treverorum 
Castra Legionis 
Augusta Taurinorum 
Augusta Praetoria Salassorum 
Emerita Augusta 
Lucus Augusti 
Caesarea 
Bracara Augusta 
Novaesium 
Castra Vetera 
Pons Drusi 
Ovilava 
Iuvavum 
Augusta Vindelicorum 
Turicum 
Sirmium 
Borbetomagus 
Caesaraugusta 
Sorviodurum 
Mogontiacum 
Argentoratum 
Bonna 
Noviomagus 
Castellum apud Confluentes 
Divodurum 
Caesaromagus 
Ambianum 
Faventia Paterna Barcino 
Abila 
Lousonna 
Ulpia Noviomagus Batavorum 
Rigomagus 
Aquae Mattiacorum 
Mursa 
Emona 
Praetorium Agrippinae 
Lugdunum Batavorum 
Aequum 
Londinium 
Albanianis 
Lauri 
Durovernum Cantiacorum 
Regulbium 
Rutupiae 
Viminacium 
Camulodunum 
Traiectum 
Matilo 
Forum Hadriani 
Nigrum Pullum 
Lindum Colonia 
Ratae Corieltauvorum 
Durocobrivis 
Colonia Agrippina 
Durocornovium 
Verulamium 
Letocetum 
Dubris 
Danum 
Mediolanum 
Isca Dumnoniorum 
Blestium 
Viroconium Cornoviorum 
Durnovaria 
Lindinis 
Ad Flexum 
Clausentum 
Calleva Atrebatum 
Duroliponte 
Concangis 
Condate 
Corinium Dobunnorum 
Eboracum 
Luguvalium 
Arae Flaviae 
Isca Augusta 
Lagentium 
Lopodunum 
Moridunum 
Venta Silurum 
Deva Victrix 
Mancunium 
Olicana 
Vinovia 
Inveresk
Bonames
Coria 
Gerulata 
Vindobona 
Biriciana 
Cannstatt Castrum 
Colonia Nervia Glevensium 
Sumelocenna 
Traiectum ad Nicrem 
Castra Batavar 
Nida 
Lactodurum 
Bovium 
Burgodunum 
Lentia 
Aquae Granni 
Portus Victoriae Iuliobrigensium 
Aeminium later renamed Conimbriga 
Traiectum ad Mosam 
Coriovallum 
Portus Lemanis 
Colonia Pietas Iulia Pola Pollentia Herculanea 
Andautonia 
Salona 
Cibalae 
Aquincum 
Apulum 
Pons Aelius 
Durovigutum 
Aelia Capitolina 
Ala 
Castra Regina 
Theranda 
Pomaria 
Partiscum 
Aurelia Aquensis 
urbs Aurelianorum 
Venetiae 
Ragusium 
Abdera 
Abila Lysaniou 
Abydos 
Acanthus 
Acharnae 
Actium 
Adramyttium 
Aegae 
Aegina 
Aegium 
Aenus 
Agrinion 
Aigosthena 
Akragas
Akrai 
Akrillai 
Akroinon 
Akrotiri 
Alalia 
Alexándreia 
Alexandretta 
Alexandria in Arachosia 
Alexandria in Ariana 
Alexandria Asiana 
Alexandria Bucephalous 
Alexandria of the Caucasus 
Alexandria Eschate 
Alexandria on the Indus 
Alexandria on the Oxus 
Alexandria Troas 
Alinda 
Amarynthos 
Amaseia 
Ambracia 
Amida 
Amisos 
Amnisos 
Amphicaea 
Amphigeneia 
Amphipolis 
Amphissa 
Ankon
Antigona 
Antipatrea 
Antioch on the Maeander 
"Antioch, Mygdonia "
Antioch on the Orontes 
"Antioch, Pisidia "
Antiochia ad Taurum 
Andros 
Apamea 
Apamea Myrlea 
Apamea Ragiana 
Aphidnae 
Apollonia 
Apollonia ad Rhyndacum 
Apollonia Pontica 
Argos 
Arsuf 
Artanes 
Artemita 
Argyroupoli 
Asine 
Asklepios 
Aspendos 
Assus 
Astacus 
Athenai 
Athmonia 
Aytos 
Baris 
Bhrytos 
Borysthenes 
Berge 
Boura 
Bouthroton
Brauron 
Byblos 
Byllis 
Byzantium 
Bythinion 
Callipolis 
Cebrene 
Chalcedon 
Calydon 
Carystus 
Chamaizi 
Chalcis 
Chersonesos 
Chios 
Chytri 
Clazomenae 
Cleonae 
Cnidus 
Colosse 
Corcyra 
Corcyra Melaena 
Croton 
Cyme 
Cyrene 
Cythera 
Decelea
Delos 
Delphi 
Demetrias 
Dicaearchia 
Dimale 
Didyma 
Dion 
Dioscurias 
Dodona 
Dorylaion 
Dyme 
Edessa 
Elateia 
Eleusis 
Eleutherna 
Emporion 
Ephesus 
Ephyra 
Epidamnos 
Epidauros 
Eresos 
Eretria 
Erythrae 
Eubea 
Gangra 
Gaza 
Gela 
Golgi
Gonnos 
Gorgippia 
