Roma 
Ariminum 
Belum 
Placentia 
Tarraco 
Italica 
Mod 
Salernum 
Bononia 
Forum Livii 
Regium Lepidi 
Aquileia 
Corduba 
Ascrivium 
Valentia Edetanorum 
Scalabis 
Villa Euracini 
Colonia Narbo Martius 
Massa 
Pistoria 
Segovia 
Gerunda 
Naissus 
Brigantium 
Florentia 
Vesontio 
Lutetia Parisiorum 
Atuatuca Tungrorum 
Iulia Romula Hispalis 
Augusta Raurica 
Lugdunum 
Siscia 
Marsonia 
Augusta Treverorum 
Castra Legionis 
Augusta Taurinorum 
Augusta Praetoria Salassorum 
Emerita Augusta 
Lucus Augusti 
Caesarea 
Bracara Augusta 
Novaesium 
Castra Vetera 
Pons Drusi 
Ovilava 
Iuvavum 
Augusta Vindelicorum 
Turicum 
Sirmium 
Borbetomagus 
Caesaraugusta 
Sorviodurum 
Mogontiacum 
Argentoratum 
Bonna 
Noviomagus 
Castellum apud Confluentes 
Divodurum 
Caesaromagus 
Ambianum 
Faventia Paterna Barcino 
Abila 
Lousonna 
Ulpia Noviomagus Batavorum 
Rigomagus 
Aquae Mattiacorum 
Mursa 
Emona 
Praetorium Agrippinae 
Lugdunum Batavorum 
Aequum 
Londinium 
Albanianis 
Lauri 
Durovernum Cantiacorum 
Regulbium 
Rutupiae 
Viminacium 
Camulodunum 
Traiectum 
Matilo 
Forum Hadriani 
Nigrum Pullum 
Lindum Colonia 
Ratae Corieltauvorum 
Durocobrivis 
Colonia Agrippina 
Durocornovium 
Verulamium 
Letocetum 
Dubris 
Danum 
Mediolanum 
Isca Dumnoniorum 
Blestium 
Viroconium Cornoviorum 
Durnovaria 
Lindinis 
Ad Flexum 
Clausentum 
Calleva Atrebatum 
Duroliponte 
Clausentum 
Concangis 
Condate 
Corinium Dobunnorum 
Eboracum 
Luguvalium 
Arae Flaviae 
Isca Augusta 
Lagentium 
Lopodunum 
Moridunum 
Venta Silurum 
Deva Victrix 
Mancunium 
Olicana 
Vinovia 
Inveresk Roman Fort 
Bonames (present city district) 
Coria 
Gerulata 
Vindobona 
Biriciana 
Cannstatt Castrum 
Colonia Nervia Glevensium 
Sumelocenna 
Lopodunum 
Traiectum ad Nicrem 
Castra Batavar 
Nida 
Lactodurum 
Bovium 
Burgodunum 
Lentia 
Aquae Granni 
Portus Victoriae Iuliobrigensium 
Aeminium later renamed Conimbriga 
Traiectum ad Mosam 
Coriovallum 
Portus Lemanis 
Colonia Pietas Iulia Pola Pollentia Herculanea 
Andautonia 
Salona 
Cibalae 
Aquincum 
Apulum 
Pons Aelius 
Durovigutum 
Aelia Capitolina 
Ala 
Castra Regina 
Theranda 
Pomaria 
Partiscum 
Aurelia Aquensis 
urbs Aurelianorum 
Venetiae 
Ragusium 
